AccommodationID,AccommodationName,OwnerIDCardNumber,CityDistrictID,StreetAddress,AccommodationTypeID,NumberOfRooms,Capacity,PricePerNight
ACM000000001,,844337223887,172,798 Debs Alley,FS,4,19,4380479.0
ACM000000002,"On Assignment, Inc.",428690549976,675,1627 Fisk Park,FS,2,10,3583433.0
ACM000000003,First Majestic Silver Corp.,180126128092,49,7163 Arrowood Center,PH,1,9,1236240.0
ACM000000004,,694335562702,696,40863 Messerschmidt Court,DP,2,10,3502700.0
ACM000000005,World Acceptance Corporation,765519043036,290,762 Elmside Terrace,TH,4,20,4607210.0
ACM000000009,,408276384428,658,39498 Memorial Street,BG,2,5,4821253.0
ACM000000010,"Aptose Biosciences, Inc.",33830750392,113,14 Autumn Leaf Center,CD,1,18,1360795.0
ACM000000012,,271337445089,673,00 Atwood Junction,RS,4,18,1121091.0
ACM000000013,,234658256134,233,000 Forster Trail,DP,6,8,1770637.0
ACM000000019,,641082657185,521,47 Brown Court,PH,1,11,4359360.0
ACM000000020,,332811653345,608,0 Hagan Parkway,VL,5,18,1253847.0
ACM000000021,,743082882401,131,70831 Crest Line Park,HS,5,20,1879585.0
ACM000000022,,43606517149,413,9 Welch Hill,CD,1,15,4250251.0
ACM000000024,John Hancock Financial Opportunities Fund,534763041922,65,18 Glacier Hill Plaza,VL,2,10,2657411.0
ACM000000025,,955691158308,141,6 Bellgrove Court,ST,1,10,1500200.0
ACM000000029,,759131901132,203,181 Melvin Trail,HS,5,5,3365232.0
ACM000000031,"Lantronix, Inc.",497211879982,573,5 Shoshone Circle,PH,1,9,2037361.0
ACM000000036,,311010903778,394,0768 Golden Leaf Center,DP,6,13,4276668.0
ACM000000038,,127554734742,258,4 Clarendon Alley,PH,1,19,1540946.0
ACM000000040,Citizens & Northern Corp,680849029959,612,7998 Lindbergh Crossing,CD,1,7,2141087.0
ACM000000041,,413559687781,227,3 Fulton Crossing,ST,1,17,3477160.0
ACM000000042,,684509656708,86,1 Hermina Hill,BG,6,12,4774037.0
ACM000000043,,300156163213,276,9168 Oak Valley Way,BG,6,2,4399073.0
ACM000000045,,64178108609,361,35846 Lotheville Point,RS,2,12,703551.0
ACM000000046,,141046291814,473,85833 Eastwood Circle,HS,4,16,2263045.0
ACM000000047,"Amkor Technology, Inc.",36125555750,122,9156 Arrowood Junction,FS,3,20,2570128.0
ACM000000048,"Capitol Federal Financial, Inc.",389069063540,424,7 Melody Terrace,VL,2,18,1703145.0
ACM000000049,,517680977465,392,7 East Parkway,RS,2,4,4694633.0
ACM000000050,Prudential Public Limited Company,811405903064,62,2 Oak Valley Pass,CD,1,19,1620410.0
ACM000000052,,885006309420,687,610 Sherman Point,HS,6,11,4504531.0
ACM000000055,,737835757144,299,592 Dovetail Point,ST,1,11,3269948.0
ACM000000056,,529826119741,653,370 Service Hill,RS,2,20,4272499.0
ACM000000061,"Owens & Minor, Inc.",647850102417,497,87 Victoria Way,DP,2,12,1688571.0
ACM000000063,,604020241870,536,73850 Judy Alley,VL,5,13,3964931.0
ACM000000067,"Intevac, Inc.",386981018048,503,89 Towne Drive,RS,4,19,4906045.0
ACM000000068,,717899729415,377,909 Karstens Park,FS,6,3,4015274.0
ACM000000069,Public Storage,353103300350,321,60 Jana Place,DP,3,18,3423211.0
ACM000000070,Waters Corporation,754070797029,386,733 Dottie Plaza,DP,5,18,2241358.0
ACM000000071,,173801248416,698,76768 Acker Lane,HS,3,9,2899666.0
ACM000000072,,636631323763,58,4 Mitchell Drive,VL,2,13,1808848.0
ACM000000073,,67420474841,298,35847 Rowland Road,CD,1,18,4374517.0
ACM000000075,"FireEye, Inc.",428690549976,679,82 Straubel Circle,FS,2,16,2505389.0
ACM000000077,,479280529685,160,77 Bobwhite Place,DP,2,17,3582147.0
ACM000000078,,100677932259,86,751 Eggendart Center,VL,4,11,4641038.0
ACM000000079,,948355582750,625,2 South Park,ST,1,2,2658588.0
ACM000000081,,271337445089,617,749 Lakewood Alley,VL,4,6,3500830.0
ACM000000082,,621816645014,1,1507 Red Cloud Terrace,RS,4,11,2631071.0
ACM000000083,Tri Continental Corporation,218178239924,626,61 Haas Junction,RS,2,12,4730795.0
ACM000000087,Vornado Realty Trust,399476908273,294,760 Porter Terrace,VL,3,5,741921.0
ACM000000088,Veritiv Corporation,552494053134,424,2106 Bowman Terrace,HS,5,18,3320026.0
ACM000000089,,612796214975,318,0320 Bayside Circle,HS,2,14,3040369.0
ACM000000092,,787869996090,387,5 Cottonwood Alley,VL,3,15,694395.0
ACM000000093,,750390006637,140,8 Homewood Center,HS,3,17,2672585.0
ACM000000094,"Albireo Pharma, Inc.",248536616026,318,5677 Tomscot Hill,ST,1,9,2296462.0
ACM000000096,,193798395734,188,3 Amoth Court,VL,3,11,4480131.0
ACM000000097,Encore Capital Group Inc,744434723871,148,30 Eastlawn Drive,FS,6,7,1588671.0
ACM000000098,,942243840689,98,98 Warrior Alley,CD,1,16,4287576.0
ACM000000100,First Trust/Aberdeen Global Opportunity Income Fund,883265960573,481,2 Sheridan Avenue,PH,1,20,1747054.0
ACM000000101,Bank of Nova Scotia (The),902840691398,488,63568 Hallows Center,RS,6,4,4845704.0
ACM000000102,"Biocept, Inc.",353533667061,215,29746 Dorton Pass,CD,1,18,4703262.0
ACM000000104,,251657497889,168,1842 Green Ridge Circle,HS,6,18,3702490.0
ACM000000105,DLH Holdings Corp.,883265960573,671,1 Fieldstone Alley,ST,1,11,3398650.0
ACM000000107,,710210038990,503,49 Springs Parkway,RS,6,15,1374289.0
ACM000000112,,770040282953,137,3061 High Crossing Trail,FS,5,18,4199382.0
ACM000000113,,212619539862,251,12836 Morningstar Alley,ST,1,10,1178161.0
ACM000000116,,719977157466,559,344 Oriole Street,DP,3,7,1584778.0
ACM000000117,,345466954979,473,87 Arkansas Drive,HS,6,8,2677195.0
ACM000000119,AMC Networks Inc.,334647433820,163,8953 Heffernan Trail,ST,1,20,2308904.0
ACM000000120,,31557385468,650,6 Farragut Lane,FS,3,9,607031.0
ACM000000121,,710102651340,495,0 Mariners Cove Park,BG,3,19,2692217.0
ACM000000122,Morgan Stanley,1436984060,189,29000 Dapin Way,RS,4,2,3294225.0
ACM000000123,,593243463266,561,3342 Porter Hill,PH,1,15,709314.0
ACM000000124,,946007468204,517,9509 Cherokee Plaza,FS,3,11,530444.0
