BookingID,GuestIDCardNumber,AccommodationID,ReservedCheckInTime,CheckInTime,CheckOutTime,VCCode,DateTimeCancel
BKG000000006,350499621247,ACM000000808,2021-10-15 01:00:00,2021-10-15 01:09:50,2021-10-18 01:09:50,,
BKG000000007,768649514024,ACM000000507,2021-09-19 15:00:00,2021-09-19 15:09:55,2021-09-24 15:09:55,,
BKG000000008,659713618314,ACM000000411,2022-01-12 03:00:00,2022-01-12 02:44:51,2022-01-19 02:44:51,A8D6WW4PVU,
BKG000000010,54939490172,ACM000000867,2021-11-04 02:00:00,2021-11-04 01:46:04,2021-11-05 01:46:04,,
BKG000000015,921897441160,ACM000000800,2021-01-23 21:00:00,2021-01-23 20:54:54,2021-01-30 20:54:54,,
BKG000000017,962848040821,ACM000000918,2021-04-29 07:00:00,2021-04-29 06:40:54,2021-05-03 06:40:54,,
BKG000000018,92275493875,ACM000000494,2021-08-04 01:00:00,2021-08-04 00:40:34,2021-08-09 00:40:34,,
BKG000000019,33046123382,ACM000000623,2022-12-05 19:00:00,2022-12-05 18:37:13,2022-12-06 18:37:13,JEO6OE0K06,
BKG000000021,183870969007,ACM000000142,2021-04-19 02:00:00,2021-04-19 01:39:53,2021-04-23 01:39:53,JFIIOD0MK2,
BKG000000024,377377827939,ACM000000182,2021-06-01 00:00:00,2021-05-31 23:53:57,2021-06-06 23:53:57,7SAEPB89KD,
BKG000000027,434243459569,ACM000000608,2021-02-04 21:00:00,2021-02-04 21:18:14,2021-02-05 21:18:14,,
BKG000000029,966774485751,ACM000000833,2022-03-25 16:00:00,2022-03-25 15:42:53,2022-03-31 15:42:53,RW4EAF5H2X,
BKG000000032,513696442639,ACM000000399,2022-11-09 00:00:00,2022-11-08 23:59:55,2022-11-11 23:59:55,DMIXX0SLVT,
BKG000000033,220372018447,ACM000000067,2021-03-09 08:00:00,2021-03-09 07:40:03,2021-03-12 07:40:03,,
BKG000000037,961533477778,ACM000000419,2022-11-04 12:00:00,2022-11-04 11:59:15,2022-11-08 11:59:15,,
BKG000000038,659662162076,ACM000000152,2021-08-11 09:00:00,,,,2021-08-02 09:07:26
BKG000000040,642821455381,ACM000000408,2021-07-04 18:00:00,2021-07-04 18:16:24,2021-07-11 18:16:24,,
BKG000000043,229896911700,ACM000000600,2022-03-22 10:00:00,2022-03-22 09:39:08,2022-03-26 09:39:08,,
BKG000000046,730232926532,ACM000000178,2021-08-14 09:00:00,2021-08-14 08:53:08,2021-08-20 08:53:08,JKGCVDDC44,
BKG000000049,638383653612,ACM000000903,2022-02-28 19:00:00,2022-02-28 19:09:12,2022-03-06 19:09:12,,
BKG000000050,813890886058,ACM000000842,2022-01-10 20:00:00,2022-01-10 19:30:18,2022-01-12 19:30:18,,
BKG000000051,909009395031,ACM000000155,2021-02-16 12:00:00,2021-02-16 11:57:00,2021-02-18 11:57:00,,
BKG000000054,189402509102,ACM000000350,2021-10-01 01:00:00,2021-10-01 00:47:52,2021-10-04 00:47:52,,
BKG000000057,611678162273,ACM000000482,2022-01-02 19:00:00,2022-01-02 19:29:15,2022-01-04 19:29:15,K8F6283V05,
BKG000000060,941542594856,ACM000000285,2021-08-22 11:00:00,2021-08-22 10:39:04,2021-08-28 10:39:04,WEX6FF2RJT,
BKG000000072,295270757136,ACM000000881,2021-06-03 19:00:00,2021-06-03 19:08:10,2021-06-09 19:08:10,,
BKG000000076,400013959392,ACM000000876,2022-08-23 08:00:00,2022-08-23 07:46:17,2022-08-29 07:46:17,,
BKG000000081,381323314146,ACM000000071,2021-06-21 19:00:00,2021-06-21 18:32:55,2021-06-28 18:32:55,,
BKG000000083,155129505824,ACM000000824,2021-07-28 08:00:00,2021-07-28 08:23:09,2021-07-30 08:23:09,MVE0JB6I4Z,
BKG000000084,897970989468,ACM000000999,2022-05-09 19:00:00,,,TWP28T2AXZ,2022-05-06 18:43:15
BKG000000086,925859673082,ACM000000005,2021-05-06 22:00:00,2021-05-06 22:04:52,2021-05-07 22:04:52,,
BKG000000088,238739188216,ACM000000178,2022-09-30 21:00:00,2022-09-30 21:14:24,2022-10-07 21:14:24,,
BKG000000089,610839678588,ACM000000917,2022-03-08 02:00:00,2022-03-08 02:25:47,2022-03-09 02:25:47,9UV5G4EL6B,
BKG000000091,657775644522,ACM000000475,2021-04-06 23:00:00,2021-04-06 23:06:02,2021-04-08 23:06:02,,
BKG000000092,401712968439,ACM000000959,2022-04-23 16:00:00,2022-04-23 15:34:22,2022-04-27 15:34:22,,
BKG000000093,24298610926,ACM000000992,2021-02-10 05:00:00,2021-02-10 05:14:40,2021-02-14 05:14:40,,
BKG000000096,629765614989,ACM000000260,2022-11-01 03:00:00,2022-11-01 02:44:05,2022-11-06 02:44:05,,
BKG000000098,498644631137,ACM000000201,2022-07-16 16:00:00,2022-07-16 16:05:12,2022-07-22 16:05:12,WEBWY81RGC,
BKG000000100,797600339977,ACM000000308,2022-03-04 08:00:00,2022-03-04 08:19:29,2022-03-08 08:19:29,,
BKG000000104,683835551551,ACM000000398,2021-09-10 22:00:00,2021-09-10 22:04:24,2021-09-14 22:04:24,,
BKG000000105,437150018557,ACM000000170,2022-01-04 07:00:00,2022-01-04 07:19:52,2022-01-09 07:19:52,,
BKG000000107,442877628103,ACM000000928,2022-03-24 20:00:00,,,GQNI689H9U,2022-03-21 20:16:58
BKG000000109,22488221556,ACM000000783,2021-02-08 05:00:00,2021-02-08 04:58:20,2021-02-11 04:58:20,,
BKG000000110,285451491039,ACM000000662,2021-05-18 23:00:00,2021-05-18 22:55:00,2021-05-23 22:55:00,P2DJ2OSOHO,
BKG000000111,287137165168,ACM000000166,2022-04-04 09:00:00,,,,2022-03-26 08:47:08
BKG000000114,993192907432,ACM000000345,2022-08-29 15:00:00,2022-08-29 14:47:11,2022-08-30 14:47:11,,
BKG000000116,638188837730,ACM000000163,2021-12-02 03:00:00,,,,2021-11-24 02:43:27
BKG000000118,22488221556,ACM000000879,2022-07-26 16:00:00,2022-07-26 15:41:02,2022-08-02 15:41:02,,
BKG000000119,273064703188,ACM000000048,2021-04-13 21:00:00,2021-04-13 20:45:32,2021-04-17 20:45:32,,
BKG000000121,217247405664,ACM000000460,2022-10-28 22:00:00,,,XVI2AIM427,2022-10-28 21:37:41
BKG000000123,888772620285,ACM000000072,2022-07-30 07:00:00,2022-07-30 07:03:05,2022-07-31 07:03:05,WHY8PDMEQE,
BKG000000125,358162844523,ACM000000583,2021-05-14 16:00:00,2021-05-14 16:02:00,2021-05-21 16:02:00,,
BKG000000128,603598194576,ACM000000782,2021-01-26 00:00:00,2021-01-26 00:24:21,2021-01-31 00:24:21,,
BKG000000130,14314548443,ACM000000874,2021-06-24 18:00:00,,,JEYRG3SHL1,2021-06-21 18:09:28
